Especie,Fecha,Saldo_CC,Saldo_mora,Cobertura,Resultado,R_Numeros,Actual,P_Operacion,Columna1,Columna2,Columna3,Columna4,Columna5,Columna6,Columna7,Columna8
TIPS PESOS N3 _ A-2021:,junio de 2023,"16,218","3,514",-,"12,704",12704,-,100.00%,MM,1.0,100%,100%,100%,100%,"14,081",
TIPS PESOS N3 _ B-2026:,junio de 2023,"16,218","3,514",-,"12,704",-,-,-,MM,1.5,100%,100%,100%,100%,"14,039",
TIPS PESOS N3 _ MZ-2026:,junio de 2023,"16,218","3,514",-,"12,704",-,-,-,MM,5.0,100%,100%,100%,100%,"13,759",
TIPS PESOS N3 _ C-2026:,junio de 2023,"16,218","3,514",-,"12,704",-,-,-,,,,,,,,
------,------,------,------,------,------,------,------,------,,,,,,,,
TIL PESOS L4  A-2025:,mayo de 2024,"9,140","1,522",0.00%,"7,618",7618,-,100.00%,MM,1.0,100%,100%,100%,100%,"2,622",
TIL PESOS L4  B1-2027:,mayo de 2024,"9,140","1,522",0.00%,"7,618",-,-,-,MM,1.5,100%,100%,100%,100%,"2,604",
TIL PESOS L4  B2-2027:,mayo de 2024,"9,140","1,522",228.08%,"7,618",-,3340,-,MM,5.0,100%,100%,100%,100%,"2,483",
TIL PESOS L4  C-2027:,mayo de 2024,"9,140","1,522",155.54%,"7,618",-,1558,-,,,,,,,,
------,------,------,------,------,------,------,------,------,,,,,,,,
TIPS PESOS N10  A-2024:,mayo de 2024,"31,931","4,234",-,"27,697",27697,-,100.00%,MM,1.0,100%,100%,100%,"11,662",,
TIPS PESOS N10  B-2029:,mayo de 2024,"31,931","4,234",232.69%,"27,697",-,11903,-,MM,1.5,100%,100%,100%,"11,554",,
TIPS PESOS N10  MZ-2029:,mayo de 2024,"31,931","4,234",161.01%,"27,697",-,5299,-,MM,5.0,100%,100%,100%,"10,790",,
------,------,------,------,------,------,------,------,------,,,,,,,,
TIPS PESOS N11 _ A-2025:,mayo de 2024,"38,143","5,659",-,"32,484",32484,-,100.00%,MM,1.0,100%,100%,100%,"6,350",,
TIPS PESOS N11 _ B-2030:,mayo de 2024,"38,143","5,659",157.91%,"32,484",-,20572,-,MM,1.5,100%,100%,100%,"6,176",,
TIPS PESOS N11 _ MZ-2030:,mayo de 2024,"38,143","5,659",116.38%,"32,484",-,7342,-,MM,5.0,100%,100%,100%,"5,172",,
------,------,------,------,------,------,------,------,------,,,,,,,,
TIPS PESOS N12 _ A-2026:,mayo de 2024,"61,142","6,267",-,"54,875",54875,-,100.00%,MM,1.0,100%,100%,100%,"10,781",,
TIPS PESOS N12 _ B1-2030:,mayo de 2024,"61,142","6,267",152.99%,"54,875",-,35867,-,MM,1.5,100%,100%,100%,"10,406",,
TIPS PESOS N12 _ B2-2031:,mayo de 2024,"61,142","6,267",118.83%,"54,875",-,10314,-,MM,5.0,100%,100%,100%,"8,017",,
------,------,------,------,------,------,------,------,------,,,,,,,,
TIPS PESOS N13 _ A-2026:,mayo de 2024,"70,929","6,926",381.26%,"64,003",64003,16787,381.27%,MM,1.0,100%,100%,100%,"10,972",,
TIPS PESOS N13 _ B1-2030:,mayo de 2024,"70,929","6,926",131.80%,"64,003",-,31772,-,MM,1.5,100%,100%,100%,"10,558",,
TIPS PESOS N13 _ B2-2031:,mayo de 2024,"70,929","6,926",115.07%,"64,003",-,7060,-,MM,5.0,100%,100%,100%,"7,925",,
------,------,------,------,------,------,------,------,------,,,,,,,,
TIPS PESOS N14 _ A-2027:,mayo de 2024,"76,811","6,191",532.81%,"70,620",70620,13254,532.82%,MM,1.0,100%,100%,100%,"9,859",,
TIPS PESOS N14 _ B-2032:,mayo de 2024,"76,811","6,191",121.48%,"70,620",-,44881,-,MM,1.5,100%,100%,100%,"9,419",,
TIPS PESOS N14 _ MZ-2032:,mayo de 2024,"76,811","6,191",111.10%,"70,620",-,5428,-,MM,5.0,100%,100%,100%,"6,603",,
------,------,------,------,------,------,------,------,------,,,,,,,,
TIPS PESOS N15 _ A-2027:,mayo de 2024,"82,231","6,835",725.07%,"75,396",75396,10398,725.10%,MM,1.0,100%,100%,100%,100%,"4,990",
TIPS PESOS N15 _ B-2032:,mayo de 2024,"82,231","6,835",134.19%,"75,396",-,45789,-,MM,1.5,100%,100%,100%,100%,"4,550",
TIPS PESOS N15 _ MZ-2032:,mayo de 2024,"82,231","6,835",119.89%,"75,396",-,6701,-,MM,5.0,100%,100%,100%,100%,"1,766",
TIPS PESOS N15 _ C-2032:,mayo de 2024,"82,231","6,835",115.78%,"75,396",-,2234,-,,,,,,,,
------,------,------,------,------,------,------,------,------,,,,,,,,
TIPS PESOS N16  A-2027:,mayo de 2024,"78,049","7,408",440.33%,"70,641",70641,16042,440.35%,MM,1.0,100%,100%,100%,100%,"4,788",
TIPS PESOS N16  B-2032:,mayo de 2024,"78,049","7,408",131.49%,"70,641",-,37680,-,MM,1.5,100%,100%,100%,100%,"4,286",
TIPS PESOS N16  MZ-2032:,mayo de 2024,"78,049","7,408",116.75%,"70,641",-,6785,-,MM,5.0,100%,100%,100%,100%,"1,233",
TIPS PESOS N16  C-2032:,mayo de 2024,"78,049","7,408",113.22%,"70,641",-,1884,-,,,,,,,,
------,------,------,------,------,------,------,------,------,,,,,,,,
TIPS PESOS N17 _ A-2028:,mayo de 2024,"67,203","5,790",339.25%,"61,413",61413,18102,339.26%,MM,1.0,100%,100%,100%,100%,"2,901",
TIPS PESOS N17 _ B-2033:,mayo de 2024,"67,203","5,790",125.61%,"61,413",-,30788,-,MM,1.5,100%,100%,100%,100%,"2,469",
TIPS PESOS N17 _ MZ-2033:,mayo de 2024,"67,203","5,790",111.88%,"61,413",-,6003,-,MM,5.0,100%,100%,100%,100%,-,
TIPS PESOS N17 _ C-2033:,mayo de 2024,"67,203","5,790",108 82%,"61,413",-,1539,-,,,,,,,,
------,------,------,------,------,------,------,------,------,,,,,,,,
TIPS PESOS N18 A1-2024:,mayo de 2024,"124,366","7,379",-,"116,987",116987,-,100.00%,MM,1.0,100%,100%,100%,100%,100%,"7,822"
TIPS PESOS N18 A2-2034:,mayo de 2024,"124,366","7,379",112.99%,"116,987",-,103537,-,MM,1.5,100%,100%,100%,100%,100%,"6,544"
TIPS PESOS N18 B-2034:,mayo de 2024,"124,366","7,379",105.43%,"116,987",-,7427,-,MM,5.0,100%,100%,100%,100%,100%,-
TIPS PESOS N18 MZ-2034:,mayo de 2024,"124,366","7,379",103.76%,"116,987",-,1785,-,,,,,,,,
TIPS PESOS N18 C-2034:,mayo de 2024,"124,366","7,379",102.14%,"116,987",-,1785,-,,,,,,,,
------,------,------,------,------,------,------,------,------,,,,,,,,
TIPS PESOS N19_ A1-2024:,mayo de 2024,"141,021","8,097",-,"132,924",132924,-,100.00%,MM,1.0,100%,100%,100%,100%,100%,"4,909"
TIPS PESOS N19_ A2-2034:,mayo de 2024,"141,021","8,097",112.36%,"132,924",-,118302,-,MM,1.5,100%,100%,100%,100%,100%,"3,569"
TIPS PESOS N19_ B-2034:,mayo de 2024,"141,021","8,097",104.73%,"132,924",-,8625,-,MM,5.0,100%,100%,100%,100%,41%,-
TIPS PESOS N19_ MZ-2034:,mayo de 2024,"141,021","8,097",100.76%,"132,924",-,5000,-,,,,,,,,
TIPS PESOS N19_ C 2034,mayo de 2024,"141,021","8,097",99 25%,"132,924",-,2000,-,,,,,,,,
------,------,------,------,------,------,------,------,------,,,,,,,,
TIPS PESOS N20_ A1-2024:,mayo de 2024,"156,207","6,367",-,"149,840",149840,-,100.00%,MM,1.0,100%,100%,100%,100%,100%,"17,461"
TIPS PESOS N20_ A2-2034:,mayo de 2024,"156,207","6,367",112.42%,"149,840",-,133282,-,MM,1.5,100%,100%,100%,100%,100%,"16,142"
TIPS PESOS N20_ B-2034:,mayo de 2024,"156,207","6,367",112.42%,"149,840",-,-,-,MM,5.0,100%,100%,100%,100%,100%,"8,282"
TIPS PESOS N20_ MZ-2034:,mayo de 2024,"156,207","6,367",108.40%,"149,840",-,4950,-,,,,,,,,
TIPS PESOS N20_ C 2034,mayo de 2024,"156,207","6,367",106 66%,"149,840",-,2250,-,,,,,,,,
------,------,------,------,------,------,------,------,------,,,,,,,,
TIPS PESOS N21 _ A-2034:,mayo de 2024,"179,755","3,014",122.35%,"176,741",176741,144460,122.35%,MM,1.0,100%,100%,100%,"18,008",,
TIPS PESOS N21 _ B-2036:,mayo de 2024,"179,755","3,014",108.21%,"176,741",-,18876,-,MM,1.5,100%,100%,100%,"16,095",,
TIPS PESOS N21 _ B-2036:,mayo de 2024,"179,755","3,014",105.06%,"176,741",-,4896,-,MM,5.0,100%,100%,100%,"5,069",,
------,------,------,------,------,------,------,------,------,,,,,,,,
TIPS PESOS N22 _ A-2039:,mayo de 2024,"302,358",-,109.89%,"302,358",302358,275146,109.89%,MM,1.0,100%,100%,"15,250",,,
TIPS PESOS N22 _ B-2039:,mayo de 2024,"302,358",-,99.65%,"302,358",-,28271,-,MM,1.5,100%,100%,"11,058",,,
------,------,------,------,------,------,------,------,------,MM,5.0,100%,2%,-,,,
TIPS PESOS N4 _ A-2022:,enero de 2024,"17,546","2,645",-,"14,901",14901,-,100.00%,MM,1.0,100%,100%,100%,100%,"16,373",
TIPS PESOS N4 _ B-2027:,enero de 2024,"17,546","2,645",-,"14,901",-,-,-,MM,1.5,100%,100%,100%,100%,"16,364",
TIPS PESOS N4 _ MZ-2027:,enero de 2024,"17,546","2,645",-,"14,901",-,-,-,MM,5.0,100%,100%,100%,100%,"16,368",
TIPS PESOS N4 _ C-2027:,enero de 2024,"17,546","2,645",-,"14,901",-,-,-,,,,,,,,
------,------,------,------,------,------,------,------,------,,,,,,,,
